text,label,target,type,meta_id
"Fuck that shit. Stop taking my picture!
You're not supposed to be taking my picture like that.
I need it for jerk me
where I could post it and people could jerk their meat.
What the fuck
are you taking my picture?
Why you guys are taking my picture?
Yo, I asked you,
why are you taking my picture?
Fuck that shit! Stop taking my picture!
You're not supposed to be taking my picture like that.
I need it for jerk me
where I could post it and people could jerk their meat.
What the fuck are you. So you ain't think you stick that in your mind?
Just a little. Just 5 more. Come on.
Yeah, your ball head would be perfect for
you. You ever heard of it?
I'll take another step. It's gonna finish.
I'm gonna grab that fucking camera from you.
You hear me? If you do take one more step,
and I'll take the camera from you.
I got your picture already.
Don't worry. I know where I can find you.
I can't. I can't do you any damage in here right now,
but I will find you. I already got your Facebook.
You're good. I will find you then.
John Wick. Who are you",1.0,OTHER,harassment,7549040326082563341
"cadena perpetua para estos agresores
el único que realmente está velando
por las mujeres y el único que se ha pronunciado
desde el minuto uno cuando agredieron a la chica al
alcalá cuando han agredido a esta niña de catorce años en hortaleza
y los únicos que han venido aquí
que me expliquen dónde coño
está el gobierno dónde coño está sánchez y dónde coño ha ido mi dinero
porque para gastárselo en prostitutas
sí que se han dado prisa cuando su pueblo les necesita
me voy bravo así va
así vamos
así vamos mensaje qué mensaje le lanzarías directamente a una feminista
si la tuvieses delante qué le dirías directamente a una feminista
que te dice que vayas al ocho m que vota podemos etcétera etcétera
que no hay peor
cosa que un corrupto un progresista y una feminista por etiqueta
que un tonto con un discurso barato como lo son ellos
que se han tragado absolutamente todo
que despierten que abran los putos ojos que a los que nos están des
no son a los del pueblo
no es a los que están arriba y a los que tanto defiende
entonces que abra los putos ojos que vea
quién realmente se preocupa por las mujeres que están en la calle
y que luego entonces se denomine feminista
pero que no sirve de nada ser feminista
un ocho de marzo todos los años que aquí eres feminista
todo el año y si quieres igualdad la igualdad
empieza por defender
a tu pueblo y por defender a los ciudadanos que estamos aquí
no para aplaudirle a una señora que se ha preocupado
más por palestina que por su propio pueblo
la que tanto habla que es una feminista institucional y en medios
estas feministas se dedican a decir
a los periodistas que son terroristas de la derecha
a decir que son ataques
racistas no perdona no es un ataque racista es la nacionalidad de este tío
y si por definición la mayoría de inmigrantes
aunque sea solo un trece por ciento de la población
son los que en proporción cometen más delitos
entonces normal que me llamen racista
yo no quiero que esta gente esté en mis calles y esté en mi país
aquí o vienes legal y vienes a comportarte a respetar
las leyes a respetar
la cultura y a respetar a la ciudadanía o te vas para tu puta casa
y si eso me convierte en racista soy racista y con orgullo
así te lo digo
y con orgullo ole muy bien muy bien sí señor",1.0,"{""choices"":[""Immigration Status"",""National Origin"",""Political Beliefs""]}",hate,7545974730176679190
"I'm not gonna lie chat
if you ever have a girl that like
just get slattered out by your homeboy bro and like
y'all was having some good going on
or she get kissed or she get played with or
you feel me she just ran through you
not in hometown or whatever
or whatever what about share with your Brody bro
share with your sister my mama always said that when I had toys
when I was trying to share
you know I mean
when I didn't want to share
she she used to always like
no
share with your sister share with your brother bro
so Imma let y'all eat bro
Imma let y'all Imma let y'all eat it up
so if y'all want her but y'all can have her
I don't want her no more you think she's now a thing
she's now a product like
I don't",1.0,"{""choices"":[""Gender"",""Sex""]}","{""choices"":[""hate"",""sexual"",""stereotypes""]}",7547101073056484622
"Black lives matter reaccionó al caso de la ucraniana
brutalmente asesinada
con un mensaje totalmente repudiable
las personas negras tienen derecho a la violencia
un movimiento que dice defender la vida
termina justificando
una muerte cuando el agresor es del grupo que dicen
representar esto demuestra que no defienden derechos
buscan dividir a la sociedad
en bandos y victimizarse para justificar
cualquier acción
incluso matar
al final no luchan por la vida
solo definen un cuento donde el asesino es la víctima
y la víctima verdadera no existe",1.0,Race,stereotypes,7549679698507304248
"all of you out there in Los Angeles waving those foreign flags
and in the same breath you're screaming about your American rights
you need to sit the hell down
cause you sound damn stupid
let's get one thing straight
you do not get to torch American cities
while you're flying some other country's flag
and then cry about how you're out here trying to defend freedom under the U s
Constitution cause you're not
you're a freaking domestic terrorist period
illegal immigrants
the people that you're out here rioting and burning down Los Angeles for
do not have constitutional rights
why you may ask
now I'm gonna say this loud and clear for the people in the way
way back in the cheap seats
because they're not American citizens
and if you are defending these criminals who are not even supposed to be here
guess what you're just as guilty
and for all of y'all out here losing your",1.0,"{""choices"":[""Immigration Status"",""National Origin""]}",stereotypes,7546941847483026702
"hay una chica de ascendencia asiática
aquí en TikTok que había
denunciado que una cuenta había utilizado
su foto que ella había puesto en un TikTok
para sus propias publicaciones
en la foto salían sus padres
abrazados y esta cuenta la había utilizado
para decir que esos eran sus padres
como yo soy una buena chismosa
para esas cosas me metí al perfil y dije
esta persona no es real
da entre ver que es un coreano que acaba de llegar a Lima que no tiene a nadie con quien salir o si no hay publicaciones
en las que dice
ay me enfermé creo que es momento de regresar a Corea como
tanto entrever que le des dinero
no te voy a negar a mí me llama la atención
las personas con rasgos asiáticos y de repente
tú eres o conocerás a alguien que también le llama la atención
pero tienes que tener cuidado con este tipo de personas con este tipo de estafas
así que si tienes a tu amiga
tu hermana tu papá tu mamá lo que sea que le guste
cosas coreanas
aconséjala que no solamente por ser coreano
asiático o lo que sea
tienen que hacerle caso
estamos en una era en el que los fraudes
abundan y por medio de internet puede parecer
que hay distintas realidades",1.0,"{""choices"":[""Ethnicity"",""National Origin""]}","{""choices"":[""hate"",""stereotypes""]}",7546374938890915092
"qué quieres
qué quieres qué quieres
eh pinche pendejo
vuélveme a grabar pendejo
cállate
vuélveme a buscar vuélveme a buscar pleito
cállate no me molestes quítate
que no me grabes
no me grabes
pinche pendejo
te lo dije a los dos no te amo no me molestes
ya vieron quién salió pinches pendejos
te dije que no te amo estúpido
no me molestes
eres un pinche débil que se deja de mi tío y es la segunda vez que te lo digo
eh pinche inútil aguanto más yo con mi hijo pendejo eh ahí está la prueba
y no me estés grabando hijo de la verga pinche débil
no me esté a#$&o porque a la mera hora de los chingazos sale bateado usted
bueno pues aguante vara ahí los mantiene usted yo nomás tengo inútiles
y que se quedan callados pendejos eh
se van a aguantar hijos de la verga ya no paso hambrunas
te dije que no te amo pendejo no me busques cállate
cállate no te metas metiche cállate metiche
no me alces la mano
eh bien que sabe por qué se queda callado
que no me ac""$&/ si se queda callado me acosa
si se queda callado te está diciendo cállate
pendejo cállate es mi hijo
es mi hijo pendejo inútil
nadie te conoce amiga pendejo inútil
es mi hijo bien que me contestaste bastardo
cállate cállate y no me grabes pendejo nadie te conoce como quiera no me grabes
cállate pendejo cállate
cállate pendejo
no me grabes pendejo
eh
no me grabes pinche pendejo ni hay marcha hoy güey eh
relájate pinche inútil mu$_&+ de hambre
cuando yo diga varo truenas y te quedas con hambre oíste
truenas pendejo
truenas pendejo
movidos porque no me tapan el paso pinches bastardos rápido
quítate a la verga oído oído
qué quieres hijo de la verga
eh qué quieres bastardo qué quieres
qué quieres qué quieres qué quieres
qué pinche pendejo
vuélvete a grabar
a ver si está el policía ahí bro
lárgate con tu pu
lárgate con tu pu
lárgate con tu pu
te vuelves a acercar a mí te odio te lo dije
lárgate
lárgate no te amo",1.0,OTHER,"{""choices"":[""violence"",""harassment""]}",7546726835787140359
"a lot of people get addicted to the social power
that comes with being perceived as a victim
but then they run out of legitimate common sense grievance claims
and then they start looking for situations that affirm their victimhood
or even producing those situations
it's a feminine pattern in general
and all you have to do to understand it is just look at relationships with women
a lot of women maintain power over men
by gaslighting him into thinking that she's the victim in the situation
she'll be as rude hypocritical
obnoxious and hard to get along with as she can
while maintaining some plausible denialability
and then when he reacts to her behaviour all of a sudden is
ha ha
you always do this to me ha
and then she uses that as like
the justification for whatever other behaviour she wants to do
which simultaneously gives her the power
while giving him all of the accountability
and this isn't just political
this is also like social
like groups of people and ideologies function this way too
a lot of black people will fight to the death to maintain their victimhood card
because it means they're not responsible
but they're also allowed to hate their oppressor
so I can say whatever I want about white people
I can behave in kind of whatever uncivilised and aggressive way I want
and then if you say anything about it
that's racist and if you pretend like you don't know what I'm talking about ah
you're a liar you're lying
a lot of the alphabet people
okay we'll do the exact same thing
they'll complain about how society has othered them
oh you guys hate me
and then become as weird looking
subversive and intolerable as possible
anything in nature that colour is poison
you know that right
and then the result of it is exactly like a toxic
like feminine manipulative woman
what ends up being effective is catastrophizing
not taking accountability
playing the victim and making other groups accountable for your behaviour
and then what happens is society in general ends up being like a fed up man
and collectively calls your bluff",1.0,"{""choices"":[""Gender"",""Race"",""Sexual Orientation""]}",stereotypes,7548136250289474847
"all this bullshit
you think you can do all this and fucking mess with somebody's emotions
I'm gonna take your fucking job
and then when your job's gone
I'm gonna come back and I'm gonna fucking pay the taxes on this house
and take your fucking house
that's what I was gonna do
and I'm gonna go kick the shit out of dickbag Eric and tell him you sent me
I'm gonna make your life a living hell
I'm gonna put you through what you put me through
so you can understand what actual emotional abuse is",1.0,NO TARGET,violence,7548985755268336910
"look at this fucking dumb fuck
there's gotta be a fucking towel head 👳🏽‍♂️too
fucking dumb fuckers man",1.0,Religion,hate,7549979979392519454
